iter	RMSE
0	518.0739502
1	516.9648136
2	515.897432
3	514.507699
4	513.5276435
5	512.5431953
6	511.5953222
7	510.7149833
8	509.7576627
9	508.8696633
10	507.9774717
11	506.6078481
12	505.3968914
13	504.6073361
14	503.7400124
15	502.9491191
16	502.1559328
17	501.4544985
18	500.7522367
19	499.9841944
20	499.27347
21	498.6052296
22	497.4706496
23	496.2976177
24	495.6330202
25	494.5995186
26	493.5057285
27	492.6633995
28	491.5932897
29	491.0208862
30	490.4222045
31	489.8803764
32	488.8975267
33	488.0835577
34	487.5224633
35	486.4591267
36	485.4231882
37	484.9056661
38	484.4248043
39	483.9399457
40	483.0261671
41	482.4018703
42	481.962512
43	481.163242
44	480.2686924
45	479.6927897
46	478.8888199
47	478.5078508
48	477.7228803
49	477.242047
50	476.8321866
51	476.4360113
52	475.6959684
53	475.3262034
54	474.842871
55	474.4861029
56	474.1304324
57	473.796007
58	473.049076
59	472.693291
60	472.3559072
61	471.606082
62	470.8393031
63	470.536247
64	469.8176144
65	469.2469364
66	468.9060546
67	468.6399977
68	467.9570024
69	467.2368374
70	466.5305601
71	466.2223828
72	465.4884218
73	465.1881152
74	464.8548421
75	464.3118439
76	464.0608417
77	463.8362871
78	463.5332106
79	463.2794472
80	462.6439221
81	462.2140472
82	461.9637697
83	461.355597
84	461.1265622
85	460.9104453
86	460.6824561
87	460.4734126
88	460.2461891
89	460.0190442
90	459.3675713
91	458.6939648
92	458.4910619
93	458.2023028
94	457.9910281
95	457.4929701
96	457.2998292
97	456.721769
98	456.5248702
99	455.9319524
100	455.7426795
101	455.5471085
102	455.3710029
103	454.7794506
104	454.184401
105	453.9877338
106	453.8025806
107	453.6339053
108	453.4633274
109	453.2944501
110	453.1199733
111	452.9795895
112	452.8100424
113	452.6516557
114	452.4972766
115	451.9444526
116	451.3898719
117	451.246139
118	451.1003183
119	450.9607049
120	450.8122634
121	450.6677728
122	450.1428642
123	449.7719467
124	449.6467218
125	449.1144552
126	448.9624525
127	448.4790628
128	448.3241475
129	448.1605457
130	447.6389184
131	447.4986803
132	446.8967293
133	446.7481553
134	446.5972822
135	446.4528335
136	446.141101
137	446.0099853
138	445.5031278
139	445.0098874
140	444.8811808
141	444.7547687
142	444.2858173
143	444.148455
144	444.0285088
145	443.9071098
146	443.4106917
147	442.9155651
148	442.4195563
149	441.9398941
150	441.8149522
151	441.6898967
152	441.2005174
153	441.0837127
154	440.5985415
155	440.4898888
156	440.3725869
157	439.8928352
158	439.7671806
159	439.6521507
160	439.528725
161	439.4031643
162	439.2765559
163	438.7844647
164	438.685973
165	438.5688629
166	438.1131817
167	438.0149743
168	437.5684901
169	437.442414
170	437.3338982
171	437.221818
172	437.1151546
173	437.0151925
174	436.5398796
175	436.4378939
176	436.3401524
177	436.2282598
178	435.774344
179	435.6757522
180	435.5656769
181	435.4682233
182	435.3652258
183	435.2570831
184	435.1596778
185	435.0683773
186	434.9713488
187	434.8706612
188	434.777613
189	434.3027573
190	434.2110149
191	434.1211223
192	433.6801842
193	433.5929203
194	433.5032513
195	433.4015614
196	432.9423137
197	432.856216
198	432.7592972
199	432.6603379
200	432.55507
201	432.1090364
202	432.0161663
203	431.5839929
204	431.4841495
205	431.3852958
206	431.3005674
207	431.2063031
208	431.0974013
209	430.991642
210	430.9060994
211	430.4647397
212	430.3562262
213	429.9639638
214	429.8747592
215	429.7785584
216	429.6911823
217	429.6017971
218	429.2187861
219	429.130786
220	429.0359448
221	428.9506884
222	428.5139657
223	428.4192223
224	427.980661
225	427.5312771
226	427.1108548
227	426.6181883
228	426.5363383
229	426.4454553
230	426.3322136
231	426.2524786
232	426.1633858
233	425.7891529
234	425.7091524
235	425.6126908
236	425.535748
237	425.4512629
238	425.3709766
239	425.2848662
240	425.2041942
