iter	Passed	Remaining
0	1	998
1	3	962
2	4	1004
3	6	987
4	7	981
5	9	996
6	10	982
7	12	1003
8	14	1012
9	17	1084
10	18	1058
11	20	1040
12	21	1028
13	23	1031
14	24	1018
15	25	997
16	27	980
17	28	972
18	30	988
19	32	984
20	33	976
21	34	966
22	35	953
23	37	942
24	38	932
25	39	929
26	41	922
27	42	916
28	43	909
29	44	904
30	46	903
31	47	901
32	49	897
33	50	892
34	51	886
35	52	880
36	54	886
37	56	879
38	57	872
39	58	867
40	59	864
41	61	863
42	63	869
43	64	866
44	65	860
45	67	856
46	68	853
47	69	850
48	70	846
49	72	842
50	73	838
51	74	835
52	75	828
53	76	824
54	78	824
55	79	821
56	80	817
57	82	814
58	83	811
59	84	807
60	85	804
61	86	800
62	88	798
63	89	796
64	90	792
65	91	789
66	92	786
67	94	783
68	95	780
69	96	778
70	97	775
71	98	772
72	100	771
73	101	769
74	103	768
75	104	765
76	105	763
77	106	757
78	107	754
79	108	752
80	109	750
81	111	748
82	112	745
83	113	743
84	114	742
85	116	739
86	117	737
87	118	736
88	119	733
89	121	732
90	122	730
91	123	727
92	124	725
93	126	724
94	127	723
95	128	721
96	130	720
97	131	719
98	132	717
99	134	716
100	135	715
101	136	714
102	138	712
103	139	709
104	140	707
105	141	706
106	143	704
107	144	703
108	145	701
109	146	699
110	148	697
111	149	695
112	150	693
113	151	690
114	152	688
115	153	687
116	154	684
117	156	682
118	157	680
119	158	678
120	159	676
121	160	674
122	161	673
123	163	670
124	164	669
125	165	668
126	167	666
127	168	665
128	169	664
129	170	662
130	172	660
131	173	658
132	174	657
133	175	655
134	176	654
135	178	653
136	179	650
137	180	648
138	181	646
139	182	645
140	184	643
141	185	642
142	186	640
143	187	638
144	189	638
145	190	637
146	192	636
147	193	634
148	194	632
149	195	630
150	197	630
151	198	628
152	199	626
153	201	626
154	202	626
155	204	625
156	205	624
157	206	623
158	208	622
159	210	622
160	211	620
161	212	619
162	213	617
163	214	615
164	216	614
165	217	612
166	218	609
167	219	607
168	220	605
169	221	604
170	223	604
171	224	602
172	225	600
173	226	599
174	228	598
175	229	596
176	230	595
177	231	593
178	232	592
179	234	590
180	235	589
181	236	587
182	237	586
183	239	584
184	240	583
185	241	581
186	242	580
187	244	578
188	245	577
189	246	575
190	247	574
191	248	572
192	250	571
193	251	569
194	252	568
195	253	567
196	255	567
197	257	566
198	258	564
199	259	563
200	260	562
201	262	560
202	263	559
203	264	558
204	266	557
205	267	555
206	268	553
207	269	552
208	271	551
209	272	549
210	273	548
211	274	546
212	275	545
213	276	543
214	278	541
215	279	540
216	280	539
217	281	537
218	282	535
219	284	534
220	285	532
221	286	531
222	287	530
223	289	529
224	290	527
225	291	526
226	292	524
227	294	523
228	295	522
229	296	521
230	297	519
231	299	518
232	299	516
233	301	514
234	302	513
235	303	512
236	304	510
237	306	509
238	307	508
239	308	506
240	309	505
241	311	503
242	312	502
243	313	500
244	314	499
245	315	498
246	317	497
247	318	495
248	319	494
249	320	492
250	321	491
251	323	489
252	324	488
253	325	486
254	326	484
255	327	483
256	328	481
257	329	480
258	331	479
259	332	477
260	333	476
261	334	475
262	335	473
263	336	472
264	338	470
265	339	469
266	340	467
267	341	466
268	342	465
269	343	463
270	345	462
271	346	460
272	347	459
273	348	458
274	349	456
275	351	455
276	352	454
277	353	452
278	354	451
279	356	450
280	357	449
281	358	447
282	360	446
283	361	445
284	362	443
285	363	442
286	364	441
287	365	439
288	367	438
289	368	437
290	369	435
291	371	434
292	372	433
293	373	432
294	374	430
295	376	429
296	377	428
297	378	426
298	379	425
299	380	424
300	382	423
301	384	422
302	385	420
303	386	419
304	387	417
305	388	416
306	389	414
307	390	413
308	392	412
309	394	412
310	395	410
311	396	409
312	398	408
313	399	407
314	400	406
315	402	404
316	403	403
317	404	402
318	405	400
319	407	399
320	408	398
321	409	396
322	410	395
323	412	394
324	414	393
325	415	392
326	416	391
327	417	389
328	419	388
329	420	387
330	421	385
331	422	384
332	424	383
333	425	381
334	426	380
335	427	379
336	428	378
337	430	376
338	431	375
339	432	374
340	433	372
341	435	371
342	436	370
343	437	368
344	438	367
345	439	366
346	440	364
347	442	363
348	443	362
349	444	360
350	445	359
351	446	357
352	447	356
353	449	355
354	450	354
355	451	352
356	452	351
357	454	350
358	454	348
359	455	346
360	456	345
361	458	344
362	459	342
363	460	341
364	461	340
365	462	338
366	463	337
367	465	336
368	466	334
369	467	333
370	468	332
371	470	331
372	471	329
373	472	328
374	473	327
375	474	325
376	476	324
377	477	323
378	478	321
379	479	320
380	480	319
381	481	317
382	482	316
383	483	315
384	485	313
385	485	312
386	487	311
387	488	309
388	489	308
389	490	307
390	492	306
391	493	304
392	495	303
393	496	302
394	497	301
395	499	299
396	500	298
397	501	297
398	502	295
399	503	294
400	504	293
401	506	292
402	506	290
403	508	289
404	509	288
405	510	286
406	511	285
407	513	284
408	514	282
409	515	281
410	516	280
411	517	278
412	518	277
413	520	276
414	521	275
415	522	273
416	524	272
417	524	271
418	525	269
419	527	268
420	528	267
421	529	266
422	530	264
423	532	263
424	533	262
425	534	260
426	535	259
427	536	258
428	538	257
429	539	255
430	540	254
431	541	253
432	542	251
433	543	250
434	544	249
435	546	248
436	547	246
437	548	245
438	549	243
439	550	242
440	551	241
441	552	240
442	554	238
443	555	237
444	556	236
445	558	235
446	559	233
447	560	232
448	561	231
449	562	230
450	564	228
451	565	227
452	566	226
453	567	225
454	568	223
455	570	222
456	571	221
457	572	219
458	573	218
459	574	217
460	575	216
461	577	214
462	578	213
463	580	212
464	581	211
465	582	210
466	583	208
467	584	207
468	585	205
469	586	204
470	587	203
471	589	202
472	591	201
473	592	200
474	594	198
475	595	197
476	596	196
477	597	195
478	598	193
479	600	192
480	601	191
481	603	190
482	604	188
483	605	187
484	607	186
485	608	185
486	609	184
487	610	182
488	611	181
489	613	180
490	614	178
491	615	177
492	615	176
493	617	174
494	618	173
495	619	172
496	620	171
497	622	169
498	623	168
499	624	167
500	625	166
501	627	165
502	629	164
503	631	162
504	632	161
505	633	160
506	634	158
507	635	157
508	636	156
509	637	155
510	638	153
511	640	152
512	641	151
513	642	150
514	643	148
515	644	147
516	646	146
517	647	144
518	648	143
519	649	142
520	650	141
521	651	139
522	652	138
523	653	137
524	653	135
525	655	134
526	656	133
527	657	131
528	658	130
529	659	129
530	660	128
531	662	126
532	663	125
533	664	124
534	665	123
535	667	121
536	668	120
537	669	119
538	670	118
539	671	116
540	672	115
541	673	114
542	674	113
543	676	111
544	677	110
545	678	109
546	679	108
547	681	106
548	682	105
549	683	104
550	684	103
551	685	101
552	686	100
553	687	99
554	689	98
555	690	96
556	691	95
557	692	94
558	694	93
559	695	91
560	696	90
561	697	89
562	698	88
563	699	86
564	700	85
565	701	84
566	702	83
567	703	81
568	704	80
569	705	79
570	707	78
571	708	76
572	709	75
573	710	74
574	711	73
575	713	71
576	714	70
577	715	69
578	716	68
579	717	66
580	718	65
581	720	64
582	721	63
583	722	61
584	724	60
585	725	59
586	726	58
587	728	56
588	729	55
589	730	54
590	731	53
591	732	51
592	734	50
593	735	49
594	736	48
595	738	47
596	739	45
597	740	44
598	742	43
599	743	42
600	744	40
601	745	39
602	746	38
603	748	37
604	749	35
605	750	34
606	751	33
607	752	32
608	753	30
609	754	29
610	756	28
611	757	27
612	758	25
613	760	24
614	761	23
615	762	22
616	763	21
617	764	19
618	765	18
619	766	17
620	768	16
621	768	14
622	770	13
623	771	12
624	773	11
625	774	9
626	775	8
627	776	7
628	777	6
629	778	4
630	780	3
631	781	2
632	782	1
633	784	0
